Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"C24"	"C0402_NEW"	"C0402_NEW"	"152.825mm"	"-98.6mm"	"152.825mm"	"-98.6mm"	"152.28mm"	"-98.6mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C23"	"C0402_NEW"	"C0402_NEW"	"133.925mm"	"-98.6mm"	"133.925mm"	"-98.6mm"	"133.38mm"	"-98.6mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C26"	"C0402_NEW"	"C0402_NEW"	"179.435mm"	"-87.49mm"	"179.435mm"	"-87.49mm"	"178.89mm"	"-87.49mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C25"	"C0402_NEW"	"C0402_NEW"	"160.535mm"	"-87.49mm"	"160.535mm"	"-87.49mm"	"159.99mm"	"-87.49mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C28"	"C0402_NEW"	"C0402_NEW"	"208.285mm"	"-87.49mm"	"208.284mm"	"-87.49mm"	"207.739mm"	"-87.49mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C27"	"C0402_NEW"	"C0402_NEW"	"189.385mm"	"-87.49mm"	"189.385mm"	"-87.49mm"	"188.84mm"	"-87.49mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C30"	"C0402_NEW"	"C0402_NEW"	"237.446mm"	"-93.018mm"	"237.446mm"	"-93.017mm"	"236.901mm"	"-93.018mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C29"	"C0402_NEW"	"C0402_NEW"	"218.546mm"	"-93.018mm"	"218.546mm"	"-93.017mm"	"218.001mm"	"-93.018mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C20"	"C0402_NEW"	"C0402_NEW"	"213.965mm"	"-55.91mm"	"213.964mm"	"-55.91mm"	"213.419mm"	"-55.91mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C19"	"C0402_NEW"	"C0402_NEW"	"195.065mm"	"-55.91mm"	"195.064mm"	"-55.91mm"	"194.519mm"	"-55.91mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C22"	"C0402_NEW"	"C0402_NEW"	"242.886mm"	"-61.678mm"	"242.886mm"	"-61.678mm"	"242.341mm"	"-61.678mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C21"	"C0402_NEW"	"C0402_NEW"	"223.986mm"	"-61.678mm"	"223.986mm"	"-61.678mm"	"223.441mm"	"-61.678mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C18"	"C0402_NEW"	"C0402_NEW"	"184.995mm"	"-56.03mm"	"184.995mm"	"-56.03mm"	"184.45mm"	"-56.03mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C17"	"C0402_NEW"	"C0402_NEW"	"166.095mm"	"-56.03mm"	"166.095mm"	"-56.03mm"	"165.55mm"	"-56.03mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C8"	"C0402_NEW"	"C0402_NEW"	"67.8mm"	"-67.5mm"	"67.8mm"	"-67.5mm"	"67.255mm"	"-67.5mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C9"	"C0402_NEW"	"C0402_NEW"	"77.995mm"	"-67.62mm"	"77.995mm"	"-67.62mm"	"77.45mm"	"-67.62mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C10"	"C0402_NEW"	"C0402_NEW"	"96.895mm"	"-67.62mm"	"96.895mm"	"-67.62mm"	"96.35mm"	"-67.62mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C12"	"C0402_NEW"	"C0402_NEW"	"123.495mm"	"-78.97mm"	"123.495mm"	"-78.97mm"	"122.95mm"	"-78.97mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C11"	"C0402_NEW"	"C0402_NEW"	"104.595mm"	"-78.97mm"	"104.595mm"	"-78.97mm"	"104.05mm"	"-78.97mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C14"	"C0402_NEW"	"C0402_NEW"	"140.995mm"	"-132.07mm"	"140.995mm"	"-132.07mm"	"140.45mm"	"-132.07mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C13"	"C0402_NEW"	"C0402_NEW"	"122.095mm"	"-132.07mm"	"122.095mm"	"-132.07mm"	"121.55mm"	"-132.07mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C16"	"C0402_NEW"	"C0402_NEW"	"158.435mm"	"-67.56mm"	"158.435mm"	"-67.56mm"	"157.89mm"	"-67.56mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C15"	"C0402_NEW"	"C0402_NEW"	"139.5mm"	"-67.5mm"	"139.5mm"	"-67.5mm"	"138.955mm"	"-67.5mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U5"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	"114.7mm"	"-53mm"	"114.7mm"	"-53mm"	"116mm"	"-53.95mm"	"5"	"T"	"0"	"Yes"	"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR"	
"R5"	"R0402"	"R0402"	"111.4mm"	"-52.1mm"	"111.4mm"	"-52.1mm"	"110.967mm"	"-52.1mm"	"2"	"T"	"0"	"Yes"	"R0402"	
"C7"	"C0402_NEW"	"C0402_NEW"	"48.9mm"	"-67.5mm"	"48.9mm"	"-67.5mm"	"48.355mm"	"-67.5mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C5"	"C0402_NEW"	"C0402_NEW"	"114mm"	"-55.6mm"	"114mm"	"-55.6mm"	"113.455mm"	"-55.6mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C1"	"C0402_NEW"	"C0402_NEW"	"211.6mm"	"-36mm"	"211.6mm"	"-36mm"	"211.055mm"	"-36mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C2"	"C0402_NEW"	"C0402_NEW"	"216.6mm"	"-36mm"	"216.6mm"	"-36mm"	"216.055mm"	"-36mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C3"	"C0402_NEW"	"C0402_NEW"	"221.6mm"	"-36mm"	"221.6mm"	"-36mm"	"221.055mm"	"-36mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C4"	"C0402_NEW"	"C0402_NEW"	"226.6mm"	"-36mm"	"226.6mm"	"-36mm"	"226.055mm"	"-36mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C37"	"C0402_NEW"	"C0402_NEW"	"173.855mm"	"-118.519mm"	"173.855mm"	"-118.518mm"	"173.31mm"	"-118.519mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"C36"	"C0402_NEW"	"C0402_NEW"	"154.955mm"	"-118.519mm"	"154.955mm"	"-118.518mm"	"154.41mm"	"-118.519mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U6"	"KH-6X6X9H-TJ"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"57.8mm"	"-39.75mm"	"57.8mm"	"-39.75mm"	"55.55mm"	"-43mm"	"4"	"T"	"90"	"No"	"KH-6X6X9H-TJ"	
"U31"	"KH-6X6X9H-TJ"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"67.8mm"	"-39.75mm"	"67.8mm"	"-39.75mm"	"65.55mm"	"-43mm"	"4"	"T"	"90"	"No"	"KH-6X6X9H-TJ"	
"U32"	"KH-6X6X9H-TJ"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"77.8mm"	"-39.75mm"	"77.8mm"	"-39.75mm"	"75.55mm"	"-43mm"	"4"	"T"	"90"	"No"	"KH-6X6X9H-TJ"	
"U33"	"KH-6X6X9H-TJ"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"90.8mm"	"-39.75mm"	"90.8mm"	"-39.75mm"	"88.55mm"	"-43mm"	"4"	"T"	"90"	"No"	"KH-6X6X9H-TJ"	
"U34"	"KH-6X6X9H-TJ"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"100.8mm"	"-39.75mm"	"100.8mm"	"-39.75mm"	"98.55mm"	"-43mm"	"4"	"T"	"90"	"No"	"KH-6X6X9H-TJ"	
"U35"	"KH-6X6X9H-TJ"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"110.8mm"	"-39.75mm"	"110.8mm"	"-39.75mm"	"108.55mm"	"-43mm"	"4"	"T"	"90"	"No"	"KH-6X6X9H-TJ"	
"U24"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"152.75mm"	"-96.15mm"	"152.75mm"	"-96.15mm"	"153.399mm"	"-96.8mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U23"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"133.75mm"	"-96.15mm"	"133.75mm"	"-96.15mm"	"134.4mm"	"-96.8mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U26"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"179.36mm"	"-85.04mm"	"179.36mm"	"-85.04mm"	"180.01mm"	"-85.69mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U25"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"160.36mm"	"-85.04mm"	"160.36mm"	"-85.04mm"	"161.01mm"	"-85.69mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U28"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"208.209mm"	"-85.04mm"	"208.209mm"	"-85.04mm"	"208.859mm"	"-85.69mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U27"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"189.209mm"	"-85.04mm"	"189.21mm"	"-85.04mm"	"189.859mm"	"-85.69mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U30"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"237.371mm"	"-90.567mm"	"237.371mm"	"-90.567mm"	"238.021mm"	"-91.217mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U29"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"218.371mm"	"-90.567mm"	"218.371mm"	"-90.567mm"	"219.021mm"	"-91.217mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U20"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"213.889mm"	"-53.46mm"	"213.889mm"	"-53.46mm"	"214.539mm"	"-54.11mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U19"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"194.889mm"	"-53.46mm"	"194.889mm"	"-53.46mm"	"195.539mm"	"-54.11mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U22"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"242.811mm"	"-59.228mm"	"242.811mm"	"-59.228mm"	"243.461mm"	"-59.878mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U21"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"223.811mm"	"-59.228mm"	"223.811mm"	"-59.228mm"	"224.461mm"	"-59.878mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U18"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"184.92mm"	"-53.58mm"	"184.92mm"	"-53.58mm"	"185.57mm"	"-54.23mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U17"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"165.92mm"	"-53.58mm"	"165.92mm"	"-53.58mm"	"166.57mm"	"-54.23mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U8"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"67.725mm"	"-65.05mm"	"67.725mm"	"-65.05mm"	"68.375mm"	"-65.7mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U9"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"77.82mm"	"-65.17mm"	"77.82mm"	"-65.17mm"	"78.47mm"	"-65.82mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U10"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"96.82mm"	"-65.17mm"	"96.82mm"	"-65.17mm"	"97.47mm"	"-65.82mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U12"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"123.42mm"	"-76.52mm"	"123.42mm"	"-76.52mm"	"124.07mm"	"-77.17mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U11"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"104.42mm"	"-76.52mm"	"104.42mm"	"-76.52mm"	"105.07mm"	"-77.17mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U14"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"140.92mm"	"-129.62mm"	"140.92mm"	"-129.62mm"	"141.57mm"	"-130.27mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U13"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"121.92mm"	"-129.62mm"	"121.92mm"	"-129.62mm"	"122.57mm"	"-130.27mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U16"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"158.36mm"	"-65.11mm"	"158.36mm"	"-65.11mm"	"159.01mm"	"-65.76mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U15"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"139.36mm"	"-65.11mm"	"139.36mm"	"-65.11mm"	"140.01mm"	"-65.76mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U7"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"48.725mm"	"-65.05mm"	"48.725mm"	"-65.05mm"	"49.375mm"	"-65.7mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U1"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"211.5mm"	"-34mm"	"211.5mm"	"-34mm"	"212.149mm"	"-34.65mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U2"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"216.499mm"	"-34mm"	"216.5mm"	"-34mm"	"217.149mm"	"-34.65mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U3"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"221.499mm"	"-34mm"	"221.5mm"	"-34mm"	"222.149mm"	"-34.65mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U4"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"226.499mm"	"-34mm"	"226.5mm"	"-34mm"	"227.149mm"	"-34.65mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U37"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"173.78mm"	"-116.069mm"	"173.78mm"	"-116.069mm"	"174.43mm"	"-116.719mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
"U36"	"SK6812-EC20"	"LED-SMD_4P-L2.0-W2.0-BR"	"154.78mm"	"-116.069mm"	"154.78mm"	"-116.069mm"	"155.43mm"	"-116.719mm"	"4"	"T"	"0"	"Yes"	"SK6812-EC20"	
